i,j,x,p,F
1,87,-9.899497487437186,-1.2562814070351749,-36.56347061942881
1,88,-9.899497487437186,-1.1557788944723608,-37.55839499002551
1,89,-9.899497487437186,-1.0552763819095468,-38.55331936062222
1,90,-9.899497487437186,-0.9547738693467327,-39.54824373121892
1,91,-9.899497487437186,-0.8542713567839186,-40.543168101815624
1,92,-9.899497487437186,-0.7537688442211046,-41.53809247241232
1,93,-9.899497487437186,-0.6532663316582905,-42.53301684300902
1,94,-9.899497487437186,-0.5527638190954764,-43.52794121360573
1,95,-9.899497487437186,-0.4522613065326624,-44.52286558420243
1,96,-9.899497487437186,-0.3517587939698483,-45.51778995479913
1,97,-9.899497487437186,-0.25125628140703427,-46.512714325395834
1,98,-9.899497487437186,-0.1507537688442202,-47.50763869599253
1,99,-9.899497487437186,-0.05025125628140614,-48.50256306658924
1,100,-9.899497487437186,0.05025125628140792,-49.49748743718594
1,101,-9.899497487437186,0.15075376884422198,-50.49241180778264
1,102,-9.899497487437186,0.25125628140703604,-51.487336178379344
1,103,-9.899497487437186,0.3517587939698501,-52.48226054897604
1,104,-9.899497487437186,0.45226130653266416,-53.47718491957275
1,105,-9.899497487437186,0.5527638190954782,-54.47210929016945
1,106,-9.899497487437186,0.6532663316582923,-55.46703366076615
1,107,-9.899497487437186,0.7537688442211063,-56.461958031362855
1,108,-9.899497487437186,0.8542713567839204,-57.456882401959554
1,109,-9.899497487437186,0.9547738693467345,-58.45180677255625
1,110,-9.899497487437186,1.0552763819095485,-59.44673114315296
1,111,-9.899497487437186,1.1557788944723626,-60.44165551374966
1,112,-9.899497487437186,1.2562814070351767,-61.43657988434636
1,113,-9.899497487437186,1.3567839195979907,-62.431504254943064
1,114,-9.899497487437186,1.4572864321608048,-63.42642862553977
1,115,-9.899497487437186,1.5577889447236188,-64.42135299613646
1,116,-9.899497487437186,1.658291457286433,-65.41627736673317
1,117,-9.899497487437186,1.758793969849247,-66.41120173732988
1,118,-9.899497487437186,1.859296482412061,-67.40612610792658
1,119,-9.899497487437186,1.959798994974875,-68.40105047852327
1,120,-9.899497487437186,2.060301507537689,-69.39597484911998
1,121,-9.899497487437186,2.160804020100503,-70.39089921971669
1,122,-9.899497487437186,2.2613065326633173,-71.38582359031338
1,123,-9.899497487437186,2.3618090452261313,-72.38074796091009
1,124,-9.899497487437186,2.4623115577889454,-73.37567233150679
1,125,-9.899497487437186,2.5628140703517595,-74.37059670210348
1,126,-9.899497487437186,2.6633165829145735,-75.36552107270019
1,127,-9.899497487437186,2.7638190954773876,-76.3604454432969
1,128,-9.899497487437186,2.8643216080402016,-77.35536981389359
1,129,-9.899497487437186,2.9648241206030157,-78.3502941844903
1,130,-9.899497487437186,3.0653266331658298,-79.345218555087
1,131,-9.899497487437186,3.165829145728644,-80.3401429256837
1,132,-9.899497487437186,3.266331658291458,-81.3350672962804
1,133,-9.899497487437186,3.366834170854272,-82.3299916668771
1,134,-9.899497487437186,3.467336683417086,-83.3249160374738
1,135,-9.899497487437186,3.5678391959799,-84.31984040807052
1,136,-9.899497487437186,3.668341708542714,-85.31476477866721
1,137,-9.899497487437186,3.768844221105528,-86.3096891492639
1,138,-9.899497487437186,3.8693467336683423,-87.30461351986062
1,139,-9.899497487437186,3.9698492462311563,-88.29953789045732
1,140,-9.899497487437186,4.07035175879397,-89.29446226105402
1,141,-9.899497487437186,4.170854271356784,-90.28938663165073
1,142,-9.899497487437186,4.2713567839195985,-91.28431100224742
1,143,-9.899497487437186,4.371859296482413,-92.27923537284413
1,144,-9.899497487437186,4.472361809045227,-93.27415974344083
1,145,-9.899497487437186,4.572864321608041,-94.26908411403753
1,146,-9.899497487437186,4.673366834170855,-95.26400848463423
1,147,-9.899497487437186,4.773869346733669,-96.25893285523094
1,148,-9.899497487437186,4.874371859296483,-97.25385722582763
1,149,-9.899497487437186,4.974874371859297,-98.24878159642434
1,150,-9.899497487437186,5.075376884422111,-99.24370596702104
1,151,-9.899497487437186,5.175879396984925,-100.23863033761774
1,152,-9.899497487437186,5.276381909547739,-101.23355470821444
1,153,-9.899497487437186,5.376884422110553,-102.22847907881115
1,154,-9.899497487437186,5.477386934673367,-103.22340344940784
1,155,-9.899497487437186,5.577889447236181,-104.21832782000455
1,156,-9.899497487437186,5.678391959798995,-105.21325219060125
1,157,-9.899497487437186,5.778894472361809,-106.20817656119794
1,158,-9.899497487437186,5.8793969849246235,-107.20310093179467
1,159,-9.899497487437186,5.9798994974874375,-108.19802530239136
1,160,-9.899497487437186,6.080402010050253,-109.19294967298808
1,161,-9.899497487437186,6.180904522613066,-110.18787404358477
1,162,-9.899497487437186,6.2814070351758815,-111.18279841418149
1,163,-9.899497487437186,6.381909547738694,-112.17772278477815
1,164,-9.899497487437186,6.48241206030151,-113.17264715537489
1,165,-9.899497487437186,6.582914572864322,-114.16757152597157
1,166,-9.899497487437186,6.683417085427138,-115.16249589656829
1,167,-9.899497487437186,6.78391959798995,-116.15742026716498
1,168,-9.899497487437186,6.884422110552766,-117.15234463776169
1,169,-9.899497487437186,6.984924623115578,-118.14726900835838
1,170,-9.899497487437186,7.085427135678394,-119.1421933789551
1,171,-9.899497487437186,7.185929648241206,-120.13711774955178
1,172,-9.899497487437186,7.286432160804022,-121.1320421201485
1,173,-9.899497487437186,7.386934673366834,-122.12696649074519
1,174,-9.899497487437186,7.48743718592965,-123.12189086134191
1,175,-9.899497487437186,7.5879396984924625,-124.11681523193859
1,176,-9.899497487437186,7.688442211055278,-125.11173960253531
1,177,-9.899497487437186,7.788944723618091,-126.10666397313199
1,178,-9.899497487437186,7.8894472361809065,-127.10158834372871
1,179,-9.899497487437186,7.989949748743719,-128.0965127143254
1,180,-9.899497487437186,8.090452261306535,-129.09143708492212
1,181,-9.899497487437186,8.190954773869347,-130.08636145551878
1,182,-9.899497487437186,8.291457286432163,-131.0812858261155
1,183,-9.899497487437186,8.391959798994975,-132.07621019671222
1,184,-9.899497487437186,8.49246231155779,-133.07113456730895
1,185,-9.899497487437186,8.592964824120603,-134.0660589379056
1,186,-9.899497487437186,8.693467336683419,-135.06098330850233
1,187,-9.899497487437186,8.793969849246231,-136.055907679099
1,188,-9.899497487437186,8.894472361809047,-137.0508320496957
1,189,-9.899497487437186,8.99497487437186,-138.04575642029243
1,190,-9.899497487437186,9.095477386934675,-139.04068079088916
1,191,-9.899497487437186,9.195979899497488,-140.03560516148582
1,192,-9.899497487437186,9.296482412060303,-141.03052953208254
1,193,-9.899497487437186,9.396984924623116,-142.02545390267923
1,194,-9.899497487437186,9.497487437185931,-143.02037827327595
1,195,-9.899497487437186,9.597989949748744,-144.01530264387264
1,196,-9.899497487437186,9.69849246231156,-145.01022701446936
1,197,-9.899497487437186,9.798994974874372,-146.00515138506603
1,198,-9.899497487437186,9.899497487437188,-147.00007575566275
1,199,-9.899497487437186,10.0,-147.99500012625944
2,0,-9.798994974874372,-10.0,49.97979848993713
2,1,-9.798994974874372,-9.899497487437186,48.994974874371856
2,2,-9.798994974874372,-9.798994974874372,48.010151258806594
2,3,-9.798994974874372,-9.698492462311558,47.02532764324133
2,4,-9.798994974874372,-9.597989949748744,46.04050402767607
2,5,-9.798994974874372,-9.49748743718593,45.05568041211081
2,6,-9.798994974874372,-9.396984924623116,44.07085679654555
2,7,-9.798994974874372,-9.296482412060302,43.08603318098029
2,8,-9.798994974874372,-9.195979899497488,42.10120956541501
2,9,-9.798994974874372,-9.095477386934673,41.11638594984975
2,10,-9.798994974874372,-8.99497487437186,40.13156233428449
2,11,-9.798994974874372,-8.894472361809045,39.14673871871923
2,12,-9.798994974874372,-8.793969849246231,38.161915103153966
2,13,-9.798994974874372,-8.693467336683417,37.177091487588704
2,14,-9.798994974874372,-8.592964824120603,36.19226787202344
2,15,-9.798994974874372,-8.492462311557789,35.20744425645817
2,16,-9.798994974874372,-8.391959798994975,34.222620640892906
2,17,-9.798994974874372,-8.291457286432161,33.237797025327644
2,18,-9.798994974874372,-8.190954773869347,32.25297340976238
2,19,-9.798994974874372,-8.090452261306533,31.26814979419712
2,20,-9.798994974874372,-7.989949748743719,30.28332617863186
2,21,-9.798994974874372,-7.889447236180905,29.2985025630666
2,22,-9.798994974874372,-7.788944723618091,28.313678947501323
2,23,-9.798994974874372,-7.688442211055277,27.32885533193606
2,24,-9.798994974874372,-7.5879396984924625,26.3440317163708
2,25,-9.798994974874372,-7.4874371859296485,25.35920810080554
2,26,-9.798994974874372,-7.386934673366834,24.374384485240277
2,27,-9.798994974874372,-7.28643216080402,23.389560869675016
2,28,-9.798994974874372,-7.185929648241206,22.404737254109754
2,29,-9.798994974874372,-7.085427135678392,21.41991363854448
2,30,-9.798994974874372,-6.984924623115578,20.435090022979217
2,31,-9.798994974874372,-6.884422110552764,19.450266407413956
2,32,-9.798994974874372,-6.78391959798995,18.465442791848695
2,33,-9.798994974874372,-6.683417085427136,17.480619176283433
2,34,-9.798994974874372,-6.582914572864322,16.49579556071817
2,35,-9.798994974874372,-6.482412060301508,15.510971945152903
2,36,-9.798994974874372,-6.381909547738694,14.526148329587642
2,37,-9.798994974874372,-6.28140703517588,13.54132471402238
2,38,-9.798994974874372,-6.180904522613066,12.556501098457112
2,39,-9.798994974874372,-6.080402010050252,11.57167748289185
2,40,-9.798994974874372,-5.979899497487437,10.586853867326582
2,41,-9.798994974874372,-5.879396984924623,9.602030251761313
2,42,-9.798994974874372,-5.7788944723618085,8.617206636196052
2,43,-9.798994974874372,-5.6783919597989945,7.63238302063079
2,44,-9.798994974874372,-5.57788944723618,6.647559405065522
2,45,-9.798994974874372,-5.477386934673366,5.66273578950026
2,46,-9.798994974874372,-5.376884422110552,4.677912173934999
2,47,-9.798994974874372,-5.276381909547738,3.6930885583697375
2,48,-9.798994974874372,-5.175879396984924,2.708264942804469
2,49,-9.798994974874372,-5.07537688442211,1.7234413272392075
2,50,-9.798994974874372,-4.974874371859296,0.7386177116739461
2,51,-9.798994974874372,-4.874371859296482,-0.24620590389131536
2,52,-9.798994974874372,-4.773869346733668,-1.231029519456584
2,53,-9.798994974874372,-4.673366834170854,-2.2158531350218453
2,54,-9.798994974874372,-4.57286432160804,-3.2006767505871068
2,55,-9.798994974874372,-4.472361809045226,-4.185500366152375
2,56,-9.798994974874372,-4.371859296482412,-5.170323981717637
2,57,-9.798994974874372,-4.271356783919598,-6.155147597282898
